artist_name,artist_id,artist_popularity,artist_genres
Whistleface,7KnYUpS6tznoeCp8LeJI1D,26,[]
Whistlefritz,0DtXS2sF7QBOVIiwSihEEY,25,[]
“Whistle Down the Wind” Original Stage Cast,5PWO6eSv0KhnoQG6S4qgbR,16,[]
Whispering Jack Smith,5orNAuxrAuO8LkW1AfJ9KQ,9,[]
Jack Stauber's Micropop,1yNIb413Bmfs2ZBVuPp9kC,68,"['indie pop', 'weirdcore']"
Jack Stauber,1vVHevk2PD45epYnDi9CCc,64,['pittsburgh indie']
SMITH,4XOIQF9cT5At4H0qcjhVL7,45,[]
The Smiths,3yY2gUcIsjMr8hjo51PoJ8,78,"['madchester', 'new wave', 'permanent wave', 'rock', 'uk post-punk']"
smith.,1tsHUHMDK952zIrjWY7uiB,38,['downtempo bass']
The Whispers,2XzHxDFTNywDd5ReMhgxkg,54,"['classic soul', 'disco', 'funk', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']"
Whirr,1tnjjbgszXYa8BbyTzwM0w,53,"['american shoegaze', 'dream pop', 'dreamgaze', 'dreamo', 'grungegaze', 'indie shoegaze', 'nu gaze', 'shoegaze']"
ASMR Whisperers,6izg9i3QPbbZliH6dcs86s,44,['asmr']
ASMR Whisperers,6izg9i3QPbbZliH6dcs86s,44,['asmr']
The Whistlers,7i7knDRybyk0pKGZs4TrA0,47,[]
Whistic,1HmcAJFqmyHJ0mwl5GPYGu,30,[]
RÜFÜS DU SOL,5Pb27ujIyYb33zBqVysBkj,74,"['australian electropop', 'edm', 'indietronica']"
Rufus,3MCjwjfIor5FkK3h639qkW,54,"['classic soul', 'disco', 'funk', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']"
Rufi-O,5GKakcgOxfujEnTZOffcRn,51,"['lo-fi chill', 'sad lo-fi']"
White Boi Rick,2FeeXKtAdSq6E7MevA6Ii7,28,[]
Whiteboy,0MpUfggcwnWsyLyPStcaEl,23,['italian underground hip hop']
The White Boys,2bxhkkVpfdJIWVD58EM9h2,9,['comedy rap']
White Collar Rhymes,3SvLt3XZvtTLN67V9ODLmx,38,[]
CRIM,095h4p1W4McMH96nJ5KWIu,41,"['emo rap', 'sad rap']"
White Collar Crime,0PDesonCJZxTamFMZnd63b,26,[]
White Dawg,3lblkRx39iLuyKk1lsvqhW,4,['crunk']
Demun Jones,1LkLu8Wywk1qLvWUYAQiZR,57,"['country rap', 'redneck']"
DEMONDICE,4IUqCINWiy7WQ6LrkhBmdt,53,[]
demxntia,6trEYfLSuAd9CS8bCy4sOH,63,"['chill r&b', 'emo rap', 'pop']"
White Light,1CYQ6SdwhR8PP6xvXt4iFu,17,[]
White Lighter,6rURL1UBfcd0KosIOLNROK,11,[]
White Lighter,7KAXiGr0IrOQjUIc1WdDUX,1,[]
White Fence,5gH9MJvoI7pN9bohESzYaA,38,"['baroque pop', 'garage pop', 'indie garage rock', 'neo-psychedelic']"
Tim Presley's White Fence,2kqYMF4WYufexKaLl3xUVv,2,[]
White Frequencies,4dWaLQiGFRB9eVHMzxaBWK,3,[]
White Lies,6ssXMmc5EOUrauZxirM910,58,"['alternative dance', 'indie rock', 'modern rock', 'new rave', 'rock']"
White Lies,0f2G08jzV845c7fD6uX4eO,29,[]
White Lie,0Hkas5a3swqU1w0h9yvsJX,8,[]
mordadsboi,0b3dOWyW2L7AeMy376BiBg,42,"['dark trap', 'underground hip hop']"
Skorde,3voCipmmrW5uF4EMA6aSbj,50,['chill breakcore']
Modokat,0MOkCubG8ucV1oT8sRynNd,38,[]
Ri0t,7HfAt6yaZs5ZgJfuzS0bv4,2,[]
RyoT,2UfA7WI5TFvWFGtSFuSytZ,10,[]
RIØT,62dv8LiZ4UZpu06Ye8ejUg,10,[]
Mystery,0Fs6g6zDSjTxSTlab3z4sY,16,[]
Mystery,3aBVrqnDvvbflFG4UaEvYC,31,"['deep progressive rock', 'neo-progressive', 'progressive metal', 'progressive rock', 'symphonic rock']"
Mystery,7nFsI5g79dkIGFiRelsVYB,7,[]
White Noise Workshop,2Nb3UPrkX8zyfTpHLiPPMI,60,['sound']
White Noise Baby Sleep,4W12lEvVl5wectUtRNrvDh,77,['sleep']
Best Noise,7saDvxqzCAwySXjDdlZNqw,53,['white noise']
Vyncent,4K2rFWZwFPj7UO8xMn9emY,18,[]
Vypsana Fixa,1sojChx5H9UtPIVnRgHDGz,47,"['czech folk', 'czech indie', 'czech pop', 'czech punk', 'czech rock']"
Viipa Musicz,3kWrKe5ZhyMoXGf0JrCK3u,30,[]
Vesna,44kmUe319y8RNgOU2deqX6,49,['czech pop']
Viviane,35xJVUVTevr1XAvPkMXuf8,30,['mbalax']
Vyvienne Long,7AKpzJUaqRuCRjQBLeLoIZ,14,"['cello', 'irish singer-songwriter']"
VIVIENNE,4DddUmoC9g4n5qoUWBHAuu,10,[]
Omega,2jFXKAH9A9H8lVnJkkLxXl,43,"['classic hungarian pop', 'classic hungarian rock']"
Gábor Takács-Nagy,2N3D7VKnPPIVk1lCNeZB8v,31,[]
Tekkno,7uqyYdqpt6YWYvfa9hVDuX,40,['magyar mulatos']
Väliharf,6Qk0hpEdjyvqK6OUSQSzR8,4,[]
Vällis,52nWMYtTtR8M5I7dJJxbXX,13,[]
Vælimaa,0NUlf45nkBfDbHm7cdDZNE,5,[]
Václav Slezák,3VHBfS16hX93D0BLGwraUz,50,['focus']
Václav Neckář,2pexGBYCYZadfQvlrmvjGt,46,"['classic czech pop', 'czech folk', 'czech pop', 'czech rock']"
Václav Neumann,5tQs2q4OYuqqHL2a5u4B61,32,[]
Vytautas Kernagis,6WbwueBf5eqUudCcI8hVm2,36,"['dainuojamoji poezija', 'lithuanian pop', 'sung poetry']"
GJan,6fuceMe1tElXcrzMaSjdcy,41,['lithuanian pop']
Vytautas Kernagis,58POnZf6dFkAzD7rDP5f9o,1,['dainuojamoji poezija']
Värttinä,4sn9fZDCAH3l0Pb0lGW1wt,32,"['finnish folk', 'karelian folk', 'nordic folk']"
V3rkefni 1,5ri9bptYMMNYWNsdGs3g68,51,[]
VARGENTA,4hg56haGFxxnKEt3AkW3fo,57,['covertronica']
White Rabbits,2t5yZKDT7oAMkOFkoToViO,31,"['double drumming', 'indie rock']"
The White Rabbit ASMR,63kK4NBQmmd66n7Dn98DUK,23,['asmr']
Rabbit,1yd1P0Jz9l81NKbZ22oewK,22,[]
White Star,70nM9ixtEAtdmEQrmxgMHf,26,[]
The White Stone Band,31sA161ggYhCHTLTneqW83,14,[]
White Stains,2mNq8Wre8AINH2HR744wYu,4,['chain punk']
SyKo,08ZqXO40nMrhBoGma4kls2,60,['glitchcore']
CYPARISS,1GzMtNyLiP1oM7yW0DyRhP,58,['drift phonk']
SiNC,5EmSTbnx0U4lhOl7MEFyyw,40,[]
White Town,1MPcILKoMCJym9KscdYxuM,51,['derby indie']
White Tower,66xq1Sby6RnCuIFS0y0YqZ,4,[]
Whitewildbear,6iq15OIcVqsiimLivOhFW6,31,[]
whitetunes,15Qu6fGatRdiCtAA7YiEZL,21,[]
$2 Bill,4Q7zIULloGZ8wzOiwT2kWM,12,[]
White Wolvz,3aZfSKX9EJxvqiVcV5yBMF,5,[]
ZOMBIES – Cast,2L7RaHwfVU6ge64IJF8GO5,65,[]
The Zombies,2jgPkn6LuUazBoBk6vvjh5,62,"['baroque pop', 'british invasion', 'bubblegum pop', 'classic rock', 'folk rock', 'psychedelic rock', 'rock']"
Zomboy,0ycHhPwPvoaO4VGzmMnXGq,56,"['brostep', 'dubstep', 'edm', 'electro house', 'electronic trap', 'glitch']"
Kveld,3ji6JgdovyG79SpMrZaEnL,40,['viking folk']
Gealdýr,0T3UezATgzQo2sJkjzEsmM,45,['viking folk']
Vǫluspá,04sNuGpenIU7aYWLTycRN7,34,['viking folk']
LOBODA,59oe7CAquFZ5mNjQ1efKPN,51,"['russian dance pop', 'russian pop', 'ukrainian pop']"
АДЛИН,3vw4wtxW7yv7yJSDqkIuUz,61,"['russian drain', 'zxc']"
Boulevard Depo,7dH8w9flSy9w81ilr0xXWe,60,"['russian hip hop', 'russian trap']"
